,listing_id,name,price,mileage,ext_color,int_color,transmission,drivetrain,make,model,condition,year,trim,bodystyle,dealer,state,rating,review_count,CPO
1871,748839681,2018 BMW 340 i,50515.0,89.0,Silver,Black,Automatic,RWD,BMW,340,New,2018,i,Sedan,BMW MINI of Arlington,TX,4.7,646,False
1872,777685947,2015 BMW 335 i xDrive,24710.0,33624.0,Black,Beige,Other / Unknown,AWD,BMW,335,Used,2015,i xDrive,Sedan,Vroom (Online Dealer),CO,3.7,915,False
1873,775018855,2011 BMW 335 i,10995.0,121641.0,Black,Black,Automatic,RWD,BMW,335,Used,2011,i,Convertible,Sterling McCall Lexus Clear Lake,TX,4.6,46,False
1874,773754303,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),UT,3.8,905,False
1875,770553526,2007 BMW 335 xi,10791.0,97462.0,Gray,Black,Other / Unknown,AWD,BMW,335,Used,2007,xi,Sedan,Colorado Auto Finders,CO,4.5,141,False
1876,777380483,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),CA,3.8,68,False
1877,776629311,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),OR,3.8,905,False
1878,765085771,2018 BMW 340 i,58925.0,50.0,Gray,Other,Automatic,RWD,BMW,340,New,2018,i,Sedan,BMW of El Paso,TX,4.6,64,False
1879,774448878,2011 BMW 335 i,14995.0,88072.0,Black,Black,Automatic,RWD,BMW,335,Used,2011,i,Coupe,Big Star Motors,TX,4.8,50,False
1880,776629573,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),CA,3.5,103,False
1881,775606812,2016 BMW 340 i xDrive,32600.0,35570.0,Red,Brown,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),CA,3.7,914,False
1882,776989560,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),CA,3.5,103,False
